,Artist,Artist_ID,Track,Track_ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,KALEO,7jdFEYD2LTYjfwxOdlVjmc,I Can't Go on Without You,1OtGo99uypkRbMqshBVFnn,0.368,0.267,-9.395,0.0428,0.368,0.267,-9.395,0.0428,0.0428
1,Hozier,2FXC3k01G6Gw61bmprjgqS,Arsonist's Lullabye,7lpmIGFw7Kc9qIdq4cGs34,0.281,0.426,-9.07,0.0526,0.281,0.426,-9.07,0.0526,0.0526
2,Rag'n'Bone Man,4f9iBmdUOhQWeP7dcAn1pf,Disfigured,0YUSVg7dncF1TzZ3IFf6Zh,0.457,0.474,-5.38,0.0315,0.457,0.474,-5.38,0.0315,0.0315
3,Stone Sour,49qiE8dj4JuNdpYGRPdKbF,Through Glass,2xKzHL1EwH4mBD4HbPIOge,0.545,0.753,-4.618,0.0361,0.545,0.753,-4.618,0.0361,0.0361
4,Rammstein,6wWVKhxIU2cEi0K81v7HvP,Sonne,3gVhsZtseYtY1fMuyYq06F,0.51,0.917,-4.806,0.0854,0.51,0.917,-4.806,0.0854,0.0854
5,Theory of a Deadman,74eX4C98E4FCrAMl39qRsJ,Rx (Medicate),2UZtI2HUyLRzqBjodvcUmY,0.639,0.71,-7.445,0.0275,0.639,0.71,-7.445,0.0275,0.0275
6,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Perfect,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,-6.312,0.0232,0.599,0.448,-6.312,0.0232,0.0232
7,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,High Hopes - 2011 Remaster,236mI0lz8JdQjlmijARSwY,0.52,0.411,-12.536,0.025,0.52,0.411,-12.536,0.025,0.025
8,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,Under Your Scars,7rPHHJMqOpJyf3raEuI5o9,0.25,0.765,-4.154,0.0414,0.25,0.765,-4.154,0.0414,0.0414
9,Rammstein,6wWVKhxIU2cEi0K81v7HvP,Engel,0xrkyEMkG4dVa5OMLQZOX8,0.637,0.658,-5.775,0.0291,0.637,0.658,-5.775,0.0291,0.0291
10,Anastacia,2siHvYaxjaW5rKVRiIrMYH,Paid My Dues,2K0197U1ISEfYciePNX8eU,0.699,0.735,-3.292,0.0345,0.699,0.735,-3.292,0.0345,0.0345
11,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Cleanin' Out My Closet,7BMO7O7ImjV8HNTH74Tshv,0.908,0.758,-4.753,0.174,0.908,0.758,-4.753,0.174,0.174
12,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,Pain,33daQo3S8j2NcJstEHXwhQ,0.416,0.741,-4.001,0.0335,0.416,0.741,-4.001,0.0335,0.0335
13,Iron Maiden,6mdiAmATAx73kdxrNrnlao,Flight of Icarus - 2015 Remaster,3vhKrSxe3fRuS5Ogis76VO,0.368,0.917,-4.829,0.0772,0.368,0.917,-4.829,0.0772,0.0772
14,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,P5hng Me A*wy (Mike Shinoda Reanimation) [feat. Stephen Richards],2AonZJ7LkhkQyWPck40uOO,0.556,0.774,-6.342,0.0419,0.556,0.774,-6.342,0.0419,0.0419
15,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Superman,4woTEX1wYOTGDqNXuavlRC,0.802,0.755,-3.138,0.0564,0.802,0.755,-3.138,0.0564,0.0564
16,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,11 Minutes (with Halsey feat. Travis Barker),4mGdjNMo0RonTlOEb7cYg4,0.464,0.852,-3.804,0.067,0.464,0.852,-3.804,0.067,0.067
17,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,I Belong To You,21DyCPJqQ8tzFCHJYX9Koz,0.691,0.686,-7.465,0.0493,0.691,0.686,-7.465,0.0493,0.0493
18,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Frgt/10 (Alchemist Reanimation) [feat. Chali 2na],778BjQ7gIDzDuhxjCC4Xjz,0.631,0.736,-6.96,0.0682,0.631,0.736,-6.96,0.0682,0.0682
19,Yaşar,50AOA3aPd6tc928KEYaljF,Gel Benimle,3uIIQaHIV0cOOmBtitN0BX,0.707,0.477,-7.665,0.0395,0.707,0.477,-7.665,0.0395,0.0395
20,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,Gone Forever,2Xe2YAxNPqWCNpZ8RagBdO,0.409,0.761,-4.514,0.031,0.409,0.761,-4.514,0.031,0.031
21,LP,0J7U24vlOOIeMpuaO6Q85A,Forever for Now,1wMpTjS9cNpdmxgJloFG30,0.547,0.341,-10.072,0.0305,0.547,0.341,-10.072,0.0305,0.0305
22,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Plc.4 Mie Hæd (Amp Live Reanimation) [feat. Zion],4uRW7Q5JdBNmpCMknCav6w,0.641,0.902,-7.068,0.18,0.641,0.902,-7.068,0.18,0.18
23,Rammstein,6wWVKhxIU2cEi0K81v7HvP,"REISE, REISE",6bvTzuFABmFnAAmVZ3nlMh,0.475,0.816,-5.502,0.0644,0.475,0.816,-5.502,0.0644,0.0644
24,Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,Affet,0ikRchpmFlaqlzLRgu9qWk,0.424,0.666,-6.683,0.0473,0.424,0.666,-6.683,0.0473,0.0473
25,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,Sleep On The Floor,44uOreAESeRIBaxkuCW4wN,0.389,0.431,-8.061,0.0344,0.389,0.431,-8.061,0.0344,0.0344
26,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Enth E Nd (Kutmasta Kurt Reanimation) [feat. Motion Man],4fYnWAimYBRNgNgTLYbXAI,0.752,0.796,-7.536,0.0503,0.752,0.796,-7.536,0.0503,0.0503
27,The White Buffalo,3ohcHMuUq1717s8AH17hfT,I Am the Moon,0GQPSWoRGfwshYYv5nW5Ct,0.235,0.225,-16.369,0.0333,0.235,0.225,-16.369,0.0333,0.0333
28,LP,0J7U24vlOOIeMpuaO6Q85A,Other People,440hzEitMR0XzyemFndEiF,0.546,0.665,-5.091,0.0257,0.546,0.665,-5.091,0.0257,0.0257
29,Jack White,4FZ3j1oH43e7cukCALsCwf,Another Way to Die,3ODl8J0TZAykdMCtCIO28n,0.486,0.765,-4.23,0.128,0.486,0.765,-4.23,0.128,0.128
30,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Opening,3gh2SWZZ2QfEBCCkZntgbk,0.16,0.163,-16.565,0.0382,0.16,0.163,-16.565,0.0382,0.0382
31,Staind,5KDIH2gF0VpelTqyQS7udb,Outside,5D6rk7Zr7FRy5m2fDte5fp,0.515,0.594,-4.708,0.0262,0.515,0.594,-4.708,0.0262,0.0262
32,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,A Reason to Fight,78ObTPtTR1gQ1b6tcVeBdA,0.591,0.571,-5.573,0.0248,0.591,0.571,-5.573,0.0248,0.0248
33,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,What Happened to Perfect,67DNRQWjRLMFvekBRprYtW,0.647,0.529,-6.524,0.0975,0.647,0.529,-6.524,0.0975,0.0975
34,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Wth>You (Chairman Hahn Reanimation) [feat. Aceyalone],0vSAsph1vdB1zN1OJR3lHy,0.58,0.982,-3.428,0.0729,0.58,0.982,-3.428,0.0729,0.0729
